ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"город Зеленоград, улица Гоголя, дом 11А",55.987543,37.171487,7720237,"г. Москва, г. Зеленоград, ул. Гоголя, д. 11А",1967,28.01.2016 в 08:39,01.03.2015,447/С 12-а/6,Многоквартирный дом,На счете регионального оператора,"ГБУ ""ЖИЛИЩНИК РАЙОНА СИЛИНО""",http://www.reformagkh.ru/mymanager/profile/8929391/,Нет,5,0,6,80,80,0,4610.00,3635.00,975.00,4610.00,2492.00,Незаполнено,,C,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица Гоголя, дом 11Б",55.987004,37.171199,7721720,"г. Москва, г. Зеленоград, ул. Гоголя, д. 11Б",1969,27.01.2016 в 14:36,01.03.2015,1-447/С12-а/61,Многоквартирный дом,На счете регионального оператора,"ГБУ ""ЖИЛИЩНИК РАЙОНА СИЛИНО""",http://www.reformagkh.ru/mymanager/profile/8929391/,Нет,5,0,4,56,56,0,3340.00,2672.00,668.00,3340.00,1876.00,Незаполнено,,C,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица Гоголя, дом 11В",55.986224,37.171774,7721725,"г. Москва, г. Зеленоград, ул. Гоголя, д. 11В",1970,28.01.2016 в 08:37,01.03.2015,1-447/С 12-а/61,Многоквартирный дом,На счете регионального оператора,"ГБУ ""ЖИЛИЩНИК РАЙОНА СИЛИНО""",http://www.reformagkh.ru/mymanager/profile/8929391/,Нет,5,0,4,64,64,0,3204.00,2551.00,653.00,3204.00,1726.00,Незаполнено,,C,Имеется,Имеется,Не заполнено,Не заполнено
"город Зеленоград, корпус 925",55.983424,37.181836,7742561,"г. Москва, г. Зеленоград, д. 925",1967,18.02.2016 в 18:13,01.01.2012,I-515,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Старое Крюково""",http://www.reformagkh.ru/mymanager/profile/7719301/,Нет,5,5,4,80,160,0,3566.00,3566.00,0.00,1265.80,Незаполнено,259.00,,C,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, корпус 926",55.983393,37.182617,7742563,"г. Москва, г. Зеленоград, д. 926",1967,18.02.2016 в 18:23,01.01.2012,I-515,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Старое Крюково""",http://www.reformagkh.ru/mymanager/profile/7719301/,Нет,5,5,4,80,160,0,3550.00,3550.00,0.00,907.60,Незаполнено,273.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, корпус 927",55.983358,37.183381,7742567,"г. Москва, г. Зеленоград, д. 927",1967,18.02.2016 в 18:31,01.01.2012,I-515,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Старое Крюково""",http://www.reformagkh.ru/mymanager/profile/7719301/,Нет,5,5,4,79,157,1,3619.00,3563.00,56.00,1300.30,Незаполнено,163.00,,D,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 10",55.976524,37.177200,7603373,"г. Москва, г. Зеленоград, ул. Заводская, д. 10",1961,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,4,4,3,40,40,0,2254.00,1759.40,566.00,1318.60,8352.00,28.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 12А",55.976166,37.177739,7558949,"г. Москва, г. Зеленоград, ул. Заводская, д. 12а",1966,22.05.2015 в 20:42,Не заполнено,Инд,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,5,80,Не заполнено,Не заполнено,3404.00,2177.00,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 12Б",55.975325,37.179608,7558950,"г. Москва, г. Зеленоград, ул. Заводская, д. 12б",1967,22.05.2015 в 20:42,Не заполнено,Инд,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,4,70,Не заполнено,Не заполнено,4126.00,2256.00,730.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 14",55.975546,37.177973,7603376,"г. Москва, г. Зеленоград, ул. Заводская, д. 14",1965,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,66,66,0,3876.00,3141.40,1271.00,2400.50,11641.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 14А",55.975471,37.178961,7603378,"г. Москва, г. Зеленоград, ул. Заводская, д. 14а",1969,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,74,74,0,3971.00,3490.20,993.00,2162.40,4140.00,37.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 16",55.976045,37.179212,7603379,"г. Москва, г. Зеленоград, ул. Заводская, д. 16",1962,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,2,2,2,16,16,0,641.00,641.00,257.00,316.00,0.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 2",55.977818,37.174865,7603359,"г. Москва, г. Зеленоград, ул. Заводская, д. 2",1969,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,78,78,0,3695.00,3694.00,395.00,1695.40,9739.00,0.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 4",55.977284,37.175565,7603361,"г. Москва, г. Зеленоград, ул. Заводская, д. 4",1962,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,4,4,4,58,58,0,2573.00,2381.40,254.00,467.00,3083.00,76.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 4А",55.976599,37.175287,7603365,"г. Москва, г. Зеленоград, ул. Заводская, д. 4а",1966,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,3,56,56,0,2488.00,2488.00,162.00,1089.30,3083.00,76.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 6",55.977052,37.176194,7603369,"г. Москва, г. Зеленоград, ул. Заводская, д. 6",1964,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,64,64,0,4189.00,3167.10,1499.00,2742.60,2261.00,192.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
